Email *,First Name *,Last Name *,Title *,Company *,Phone *,Add Multiple Email id's with || Separation.,Role Name *,Meeting Types(Default - All),Send Notification(Y/N - default N),Topic name - Add Multiple Topics with || Separation.
specical.c}har22@jifflenow.net,specical.c}har22,char22,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c+har23@jifflenow.net,specical.c+har23,char23,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c=har24@jifflenow.net,specical.c=har24,char24,testing,QA,123,"",Attendee,ALL,"",Action_Filters
specical.c|har25@jifflenow.net,specical.c|har25,char25,testing,QA,123,"",Attendee,ALL,"",Action_Filters
tester1@jifflenow.net,Tester 1,Qa 1,QA,automation01,0000,"",Attendee,ALL,"",""
user1@jifflenow.net,User,1,QA,LG,0,"",Attendee,ALL,"",""
user3@jifflenow.net,User,3,qa,LG,123,"",Requestor,ALL,"",""
user2@jifflenow.net,User2,2,0,LG,0,"",Requestor,ALL,"",""
dav.cam16101990@gmail.com,User-Automation,Automation,testing,QA,123,"",Attendee,ALL,"",Action_Filters
vijay.qa11087@gmail.com,Vijay,Anthony,MM,Jiffle,987654321,"",Attendee,ALL,"",""
vijay.qa11087@jifflenow.net,Vijay,Catch,MM,Jiffle,987654321,"",Attendee,ALL,"",""
vijay.qa110878@jifflenow.net,Vijay,Catch,MM,Jiffle,987654321,"",Attendee,ALL,"",""
xyz@jifflenow.net,XYZ,Catch,MM,Jiffle,987654321,"",Attendee,ALL,"",""
zoe.staff@jifflenow.net,Zoe,Morgan,Ms,The Machine,3454393889,"",Executive Admin,ALL,"",""
